entryDate,closeDate,shortStrike,longStrike,credit,closeReason,netPnl
2010-03-01,2010-03-05,107,102,0.6640,profit_target,42.05204942205996
2010-03-02,2010-03-05,107,102,0.6146,profit_target,35.96982840095647
2010-03-05,2010-03-16,109,104,0.5178,profit_target,34.01643034960275
2010-03-08,2010-03-16,109,104,0.5461,profit_target,33.154405073893734
2010-03-16,2010-03-23,111,106,0.5435,profit_target,32.06899698304784
2010-03-17,2010-03-30,112,107,0.5500,profit_target,26.918039315669496
2010-03-23,2010-04-05,113,108,0.5549,profit_target,31.377587341624395
2010-03-30,2010-04-06,113,108,0.6250,profit_target,35.35120448224162
2010-04-05,2010-04-12,114,109,0.5623,profit_target,28.888674903269674
2010-04-06,2010-04-14,115,110,0.6391,profit_target,41.01510849343599
2010-04-12,2010-04-23,116,111,0.6540,profit_target,37.94986087003273
2010-04-14,2010-05-19,117,112,0.5878,expired_max_loss,-442.5179277198302
2010-04-23,2010-05-28,117,112,0.5610,expired_max_loss,-445.20468945620917
2010-07-14,2010-07-26,103,98,0.6553,profit_target,45.83831913632042
2010-07-15,2010-07-26,103,98,0.6531,profit_target,44.178742956326715
2010-07-26,2010-08-09,106,101,0.7145,profit_target,42.08763821258953
2010-07-27,2010-08-09,106,101,0.7552,profit_target,44.233770503713146
2010-08-10,2010-09-03,106,101,0.6159,profit_target,36.28117042649209
2010-08-09,2010-09-08,107,102,0.6585,profit_target,40.274344844825315
2010-09-03,2010-09-13,105,100,0.6282,profit_target,34.53201868068202
2010-09-08,2010-09-13,104,99,0.6650,profit_target,39.76780122072726
2010-09-13,2010-09-20,107,102,0.6818,profit_target,33.01261397125402
2010-09-14,2010-09-20,107,102,0.7117,profit_target,34.43475637594273
2010-09-20,2010-10-05,109,104,0.7077,profit_target,45.162743847068135
2010-09-21,2010-10-05,108,103,0.6533,profit_target,45.917602166167875
2010-10-05,2010-10-12,110,105,0.6271,profit_target,34.16607042124185
2010-10-06,2010-10-12,110,105,0.6237,profit_target,32.42804162356984
2010-10-12,2010-10-22,112,107,0.6259,profit_target,31.624807440118563
2010-10-13,2010-11-02,113,108,0.6745,profit_target,44.42740846805067
2010-10-22,2010-11-03,113,108,0.5820,profit_target,30.851644721607695
2010-11-02,2010-11-04,114,109,0.7555,profit_target,48.83300789457554
2010-11-03,2010-11-04,115,110,0.7271,profit_target,35.47052981169391
2010-11-04,2010-12-01,117,112,0.6276,profit_target,30.752857021898482
2010-11-05,2010-12-02,118,113,0.7025,profit_target,51.43927721778987
2010-12-01,2010-12-03,115,110,0.7145,profit_target,41.4043744753457
2010-12-02,2010-12-09,117,112,0.6825,profit_target,36.57985020602728
2010-12-03,2010-12-13,118,113,0.7070,profit_target,38.82900953250677
2010-12-09,2010-12-17,119,114,0.6845,profit_target,33.3937124767888
2010-12-13,2010-12-21,119,114,0.6126,profit_target,33.644433059298265
2010-12-17,2010-12-22,120,115,0.6001,profit_target,29.131240314723883
2010-12-21,2011-01-03,121,116,0.6237,profit_target,34.62867296696933
2010-12-22,2011-01-05,122,117,0.6516,profit_target,36.172824632271
2011-01-03,2011-01-12,122,117,0.6094,profit_target,36.59042013761781
2011-01-05,2011-01-14,123,118,0.6507,profit_target,41.6202423862727
2011-01-12,2011-01-26,124,119,0.6150,profit_target,33.205391300059766
2011-01-14,2011-02-01,125,120,0.6081,profit_target,36.045721594277936
2011-01-26,2011-02-04,125,120,0.6363,profit_target,34.415125376698455
2011-02-01,2011-02-08,126,121,0.6992,profit_target,41.38362354210799
2011-02-04,2011-02-11,126,121,0.5396,profit_target,29.973316864155898
2011-02-08,2011-02-18,128,123,0.6355,profit_target,33.38490525389261
2011-02-11,2011-03-18,128,123,0.5623,expired_partial,47.028939551551325
2011-02-18,2011-03-24,129,124,0.5659,profit_target,52.565816299022956
2011-03-24,2011-04-01,126,121,0.6936,profit_target,40.979692171987075
2011-03-25,2011-04-01,126,121,0.6327,profit_target,33.4516252669422
2011-04-01,2011-04-20,128,123,0.6361,profit_target,43.70128614192243
2011-04-04,2011-04-20,128,123,0.6341,profit_target,37.861534643931506
2011-04-20,2011-04-27,129,124,0.6609,profit_target,39.19804141866391
2011-04-21,2011-04-28,129,124,0.5171,profit_target,32.26502564155225
2011-04-27,2011-05-27,131,126,0.6059,profit_target,34.016636675828344
2011-04-28,2011-05-31,132,127,0.6470,profit_target,60.4359182640703
2011-05-27,2011-06-29,128,123,0.5498,profit_target,50.47565114738163
2011-05-31,2011-06-30,130,125,0.6142,profit_target,32.2443430677919
2011-06-30,2011-07-05,127,122,0.5910,profit_target,28.941525692608117
2011-07-01,2011-07-21,129,124,0.5730,profit_target,31.349636773752923
2011-07-05,2011-07-22,129,124,0.6165,profit_target,30.145003883213718
2011-07-21,2011-08-25,129,124,0.6303,expired_max_loss,-438.2668508931939
2011-07-22,2011-08-26,129,124,0.6089,expired_max_loss,-440.4053705818206
2011-10-14,2011-10-24,115,110,0.8354,profit_target,42.21210385496784
2011-10-24,2011-10-27,117,112,0.7889,profit_target,45.620960575792076
2011-10-26,2011-10-27,116,111,0.8358,profit_target,54.34190558529947
2011-10-27,2011-11-30,121,116,0.7564,profit_target,73.10495302313554
2011-10-28,2011-11-30,121,116,0.7046,profit_target,61.312927473041825
2011-11-30,2011-12-20,117,112,0.8056,profit_target,55.776440689283795
2011-12-01,2011-12-20,117,112,0.8086,profit_target,53.58491804497358
2011-12-20,2011-12-23,118,113,0.7749,profit_target,42.30063170011051
2011-12-21,2012-01-03,118,113,0.6452,profit_target,43.6769705082257
2011-12-23,2012-01-05,121,116,0.7385,profit_target,36.975350975896966
2012-01-03,2012-01-10,121,116,0.7219,profit_target,38.15806593544201
2012-01-05,2012-01-18,122,117,0.7202,profit_target,50.45791083809776
2012-01-10,2012-01-19,123,118,0.6700,profit_target,40.222536482038
2012-01-18,2012-01-25,125,120,0.7532,profit_target,44.74805235660112
2012-01-19,2012-02-01,126,121,0.7463,profit_target,41.18533374560566
2012-01-25,2012-02-03,127,122,0.6305,profit_target,38.89655166886899
2012-02-01,2012-02-03,127,122,0.6768,profit_target,34.23521324387047
2012-02-03,2012-02-17,129,124,0.5870,profit_target,35.189493769415904
2012-02-06,2012-02-17,129,124,0.6438,profit_target,35.882302078142054
2012-02-17,2012-03-01,131,126,0.7004,profit_target,39.816370592118226
2012-02-21,2012-03-08,131,126,0.7145,profit_target,35.14902756850777
2012-03-01,2012-03-13,132,127,0.6379,profit_target,50.96423436629018
2012-03-08,2012-03-13,131,126,0.6508,profit_target,51.108302003161825
2012-03-13,2012-03-26,135,130,0.5923,profit_target,42.97286599662047
2012-03-14,2012-03-26,135,130,0.6604,profit_target,48.54688789537146
2012-03-27,2012-04-25,136,131,0.5648,profit_target,33.78406980422902
2012-03-26,2012-04-26,137,132,0.5587,profit_target,43.918093238666
2012-04-25,2012-05-30,134,129,0.6677,expired_partial,-201.3257382418647
2012-04-26,2012-05-31,135,130,0.6469,expired_partial,-333.3097675826294
2012-06-19,2012-07-02,130,125,0.6383,profit_target,37.78734004820024
2012-06-20,2012-07-02,130,125,0.5893,profit_target,31.217069517239562
2012-07-02,2012-07-18,131,126,0.5722,profit_target,36.33930825059201
2012-07-03,2012-07-19,132,127,0.5955,profit_target,35.995191723494386
2012-07-18,2012-08-03,132,127,0.5711,profit_target,43.37043441976181
2012-07-19,2012-08-03,133,128,0.6160,profit_target,38.87171914816127
2012-08-03,2012-08-10,134,129,0.5750,profit_target,31.23401618966105
2012-08-06,2012-08-13,134,129,0.5570,profit_target,33.59990064329971
2012-08-10,2012-08-17,136,131,0.6000,profit_target,33.033054269493206
2012-08-13,2012-09-06,136,131,0.5441,profit_target,49.568113439901964
2012-08-17,2012-09-06,138,133,0.6307,profit_target,39.57742489173494
2012-09-06,2012-09-13,138,133,0.5928,profit_target,44.26174199723421
2012-09-07,2012-09-13,139,134,0.5618,profit_target,33.17915585937688
2012-09-13,2012-10-04,141,136,0.5260,profit_target,33.979519509057305
2012-09-14,2012-10-05,142,137,0.6223,profit_target,33.01461501224431
2012-10-04,2012-11-06,141,136,0.5418,profit_target,37.92215304462705
2012-10-05,2012-11-06,141,136,0.5288,profit_target,26.146563222590235
2012-12-07,2012-12-18,137,132,0.6616,profit_target,47.66942390762062
2012-12-10,2012-12-18,137,132,0.6667,profit_target,44.40211603748856
2012-12-18,2013-01-02,140,135,0.6842,profit_target,47.965814524774714
2012-12-19,2013-01-02,138,133,0.6649,profit_target,56.92664393819592
2013-01-02,2013-01-10,141,136,0.5408,profit_target,29.149980188827552
2013-01-03,2013-01-10,141,136,0.5723,profit_target,31.022743796478945
2013-01-10,2013-01-18,143,138,0.6075,profit_target,35.3858184079663
2013-01-11,2013-01-18,143,138,0.5929,profit_target,32.674129470448406
2013-01-18,2013-01-29,145,140,0.6272,profit_target,37.030848855776604
2013-01-22,2013-02-01,145,140,0.5257,profit_target,32.4046685951684
2013-01-29,2013-02-08,146,141,0.5287,profit_target,27.073119399416235
2013-02-01,2013-02-14,147,142,0.5629,profit_target,30.19185072271946
2013-02-08,2013-02-19,147,142,0.5071,profit_target,32.31639141469019
2013-02-14,2013-03-05,148,143,0.5819,profit_target,44.092863557063524
2013-02-19,2013-03-06,149,144,0.5616,profit_target,27.212589904400165
2013-03-05,2013-03-11,149,144,0.5289,profit_target,36.131009006673736
2013-03-06,2013-03-11,150,145,0.6716,profit_target,40.88634409616561
2013-03-12,2013-03-26,151,146,0.5530,profit_target,30.61816692946895
2013-03-11,2013-03-28,152,147,0.5942,profit_target,35.29885363513347
2013-03-26,2013-04-10,152,147,0.5832,profit_target,46.784930713051914
2013-03-28,2013-04-10,153,148,0.6503,profit_target,43.92060991811778
2013-04-10,2013-04-29,155,150,0.6623,profit_target,32.15449093429005
2013-04-11,2013-04-30,155,150,0.5549,profit_target,27.480162729928594
2013-04-29,2013-05-03,155,150,0.6898,profit_target,37.93009629432336
2013-04-30,2013-05-06,155,150,0.6126,profit_target,36.60595063033868
2013-05-03,2013-05-08,157,152,0.6131,profit_target,30.143527263802948
2013-05-06,2013-05-13,157,152,0.5467,profit_target,27.81345741519081
2013-05-08,2013-05-15,159,154,0.6362,profit_target,38.45413733234093
2013-05-13,2013-05-15,159,154,0.6075,profit_target,29.545552708315594
2013-05-15,2013-06-17,161,156,0.5707,profit_target,49.24805762493307
2013-05-16,2013-06-17,160,155,0.5594,profit_target,49.007466296041336
2013-06-17,2013-07-05,158,153,0.7328,profit_target,38.06805629152598
2013-06-18,2013-07-08,159,154,0.6894,profit_target,37.284000654978605
2013-07-05,2013-07-09,158,153,0.6830,profit_target,32.86090297885367
2013-07-08,2013-07-11,159,154,0.6949,profit_target,44.668521503849014
2013-07-09,2013-07-12,160,155,0.6384,profit_target,36.04431123336614
2013-07-11,2013-07-19,162,157,0.5937,profit_target,38.27137982303334
2013-07-12,2013-07-19,163,158,0.6517,profit_target,33.88001399824448
2013-07-19,2013-08-01,165,160,0.6643,profit_target,35.40754449529524
2013-07-22,2013-08-02,165,160,0.5969,profit_target,34.60152319502422
2013-08-01,2013-09-05,166,161,0.6431,expired_partial,13.810683447072181
2013-08-02,2013-09-06,167,162,0.6659,expired_partial,-83.01221760325963
2013-09-09,2013-09-11,161,156,0.6307,profit_target,32.90345201553693
2013-09-10,2013-09-17,163,158,0.6515,profit_target,32.285380081131
2013-09-11,2013-09-18,164,159,0.6714,profit_target,47.26259656576116
2013-09-17,2013-09-19,165,160,0.6554,profit_target,32.01833462102284
2013-09-18,2013-10-16,167,162,0.5776,profit_target,47.23050675180182
2013-09-19,2013-10-16,167,162,0.5855,profit_target,45.138745303232014
2013-10-16,2013-10-18,167,162,0.7292,profit_target,41.13847905267215
2013-10-17,2013-10-22,168,163,0.6068,profit_target,30.298819515140806
2013-10-18,2013-10-28,169,164,0.5548,profit_target,29.47791451134939
2013-10-22,2013-11-04,170,165,0.5850,profit_target,35.44192898425881
2013-10-28,2013-11-11,171,166,0.6276,profit_target,38.2028195928016
2013-11-04,2013-11-13,172,167,0.6626,profit_target,33.51193254204524
2013-11-11,2013-11-15,172,167,0.5684,profit_target,33.62090304235891
2013-11-13,2013-11-22,173,168,0.5657,profit_target,35.83694159775574
2013-11-15,2013-12-06,175,170,0.6076,profit_target,34.99319471141446
2013-11-22,2013-12-18,176,171,0.6697,profit_target,50.6352374300892
2013-12-06,2013-12-20,175,170,0.6541,profit_target,37.05681332739517
2013-12-18,2013-12-24,176,171,0.7179,profit_target,43.6033120212367
2013-12-20,2013-12-24,176,171,0.6189,profit_target,31.18210055853248
2013-12-24,2014-01-09,178,173,0.5751,profit_target,27.69444363376289
2013-12-26,2014-01-14,179,174,0.5835,profit_target,28.676717678572683
2014-01-09,2014-02-11,179,174,0.6929,profit_target,63.01139535636649
2014-01-14,2014-02-12,179,174,0.6296,profit_target,30.636398301068823
2014-02-11,2014-02-18,176,171,0.6577,profit_target,35.77501752148558
2014-02-12,2014-02-18,176,171,0.6496,profit_target,33.57333501221707
2014-02-19,2014-02-24,177,172,0.7554,profit_target,37.07222113234245
2014-02-18,2014-02-28,178,173,0.6081,profit_target,32.444193258947735
2014-02-24,2014-03-04,179,174,0.6769,profit_target,38.75063005230957
2014-02-28,2014-03-10,180,175,0.6408,profit_target,31.661932440260163
2014-03-04,2014-03-31,182,177,0.7325,profit_target,59.180471625415194
2014-03-10,2014-03-31,182,177,0.6987,profit_target,37.53749539549209
2014-03-31,2014-04-21,182,177,0.7389,profit_target,45.016182586166614
2014-04-01,2014-04-22,183,178,0.6353,profit_target,31.939118348041266
2014-04-21,2014-05-05,182,177,0.7030,profit_target,36.71741662778129
2014-04-22,2014-05-12,183,178,0.7188,profit_target,58.178835077883676
2014-05-05,2014-05-13,183,178,0.6561,profit_target,34.38634792729368
2014-05-12,2014-05-27,185,180,0.6830,profit_target,46.27857698734899
2014-05-13,2014-05-27,185,180,0.6654,profit_target,42.92369243232566
2014-05-27,2014-06-05,186,181,0.5460,profit_target,36.31443529809567
2014-05-28,2014-06-05,186,181,0.5951,profit_target,40.106382750852845
2014-06-05,2014-06-18,189,184,0.5974,profit_target,42.77732809165883
2014-06-06,2014-06-18,190,185,0.5264,profit_target,25.853046351107455
2014-06-18,2014-07-01,191,186,0.5494,profit_target,31.14798609085563
2014-06-19,2014-07-02,192,187,0.6669,profit_target,36.68595266440889
2014-07-01,2014-07-16,193,188,0.6677,profit_target,35.16882935352313
2014-07-02,2014-07-22,193,188,0.6183,profit_target,34.13236911890158
2014-07-16,2014-08-18,193,188,0.5414,profit_target,52.31771391994464
2014-07-22,2014-08-18,193,188,0.6294,profit_target,43.185963336178204
2014-08-18,2014-08-25,192,187,0.6567,profit_target,41.08877700894611
2014-08-19,2014-08-26,193,188,0.6596,profit_target,35.09474892817666
2014-08-25,2014-09-16,195,190,0.6665,profit_target,35.197944844619784
2014-08-26,2014-09-17,195,190,0.6346,profit_target,35.486496514519324
2014-09-16,2014-10-21,194,189,0.6116,expired_worthless,61.16085311332814
2014-09-17,2014-10-22,195,190,0.7140,expired_partial,-158.7965711122135
2014-10-28,2014-10-31,192,187,0.6705,profit_target,36.36541582418857
2014-10-29,2014-10-31,192,187,0.7694,profit_target,45.02137850884477
2014-10-31,2014-11-10,196,191,0.7538,profit_target,47.0360654591712
2014-11-03,2014-11-10,195,190,0.6829,profit_target,43.48686112841515
2014-11-10,2014-11-21,198,193,0.6430,profit_target,39.12315754328242
2014-11-11,2014-11-21,198,193,0.6422,profit_target,37.56221938921934
2014-11-21,2014-12-04,201,196,0.7436,profit_target,35.98355280809241
2014-11-24,2014-12-19,201,196,0.6401,profit_target,31.041111716022332
2014-12-04,2014-12-24,202,197,0.7139,profit_target,34.64902098244597
2014-12-19,2014-12-26,199,194,0.7021,profit_target,39.42019565555836
2014-12-24,2015-01-22,202,197,0.7629,profit_target,43.795333825979924
2014-12-26,2015-01-26,202,197,0.6967,profit_target,48.17451054086728
2015-01-22,2015-02-10,199,194,0.7755,profit_target,38.28835356999859
2015-01-26,2015-02-12,199,194,0.7824,profit_target,58.8834987514974
2015-02-10,2015-02-13,199,194,0.7775,profit_target,45.82749156155336
2015-02-12,2015-02-20,202,197,0.7709,profit_target,41.58113379250134
2015-02-13,2015-02-24,203,198,0.7374,profit_target,43.000325699864
2015-02-20,2015-03-02,204,199,0.6745,profit_target,32.437906324129585
2015-02-24,2015-03-20,205,200,0.6788,profit_target,46.344906912322955
2015-03-02,2015-04-06,206,201,0.7225,expired_worthless,72.24500382581087
2015-03-20,2015-04-10,205,200,0.7055,profit_target,36.694028734330686
2015-04-06,2015-04-10,201,196,0.6850,profit_target,40.88404561841269
2015-04-13,2015-04-22,203,198,0.7237,profit_target,39.08096217694754
2015-04-10,2015-04-23,204,199,0.6160,profit_target,31.858749447403145
2015-04-22,2015-05-08,205,200,0.6827,profit_target,35.008192993661304
2015-04-23,2015-05-14,206,201,0.7311,profit_target,47.27419858346832
2015-05-08,2015-05-21,206,201,0.7296,profit_target,43.231233437236284
2015-05-14,2015-06-10,206,201,0.6468,profit_target,39.60420339557298
2015-05-21,2015-06-18,207,202,0.6021,profit_target,44.813596673970785
2015-06-10,2015-06-22,204,199,0.6337,profit_target,38.03902181764765
2015-06-18,2015-07-14,206,201,0.6877,profit_target,42.86097628364675
2015-06-22,2015-07-16,206,201,0.6284,profit_target,49.88597289289135
2015-07-14,2015-07-20,205,200,0.7288,profit_target,38.03873876326468
2015-07-16,2015-08-17,207,202,0.6799,profit_target,56.61312413519242
2015-07-20,2015-08-24,207,202,0.6449,expired_max_loss,-436.81240168852463
2015-08-17,2015-09-21,204,199,0.6521,expired_max_loss,-436.09438130910513
2015-10-08,2015-10-16,194,189,0.8220,profit_target,47.50856046757196
2015-10-09,2015-10-16,194,189,0.7826,profit_target,41.99180578660233
2015-10-16,2015-10-23,197,192,0.7800,profit_target,52.34660864151729
2015-10-19,2015-10-23,197,192,0.7719,profit_target,47.63831651225564
2015-10-23,2015-11-02,201,196,0.7282,profit_target,44.62017766119554
2015-10-26,2015-11-02,200,195,0.7238,profit_target,46.71352701301984
2015-11-02,2015-12-01,204,199,0.7300,profit_target,63.76991952698957
2015-11-03,2015-12-01,204,199,0.6981,profit_target,57.39728916384325
2015-12-01,2015-12-29,203,198,0.6740,profit_target,36.58812715767738
2015-12-02,2015-12-29,201,196,0.7975,profit_target,63.310700096861225
2015-12-29,2016-02-02,200,195,0.7058,expired_max_loss,-430.722941914523
2016-02-25,2016-03-01,187,182,0.8113,profit_target,40.09926924775699
2016-02-26,2016-03-01,186,181,0.7809,profit_target,42.853228801478075
2016-03-01,2016-03-11,190,185,0.7663,profit_target,56.31876796239205
