date,cash,positionsValue,totalEquity,openPositionCount
2017-03-17,6656.257973267974,882.3284271746011,7538.586400442575,2
2017-03-20,6656.257973267974,879.6653525117404,7535.923325779715,2
2017-03-21,6656.257973267974,752.9957563671186,7409.253729635093,2
2017-03-22,6656.257973267974,770.2182700004468,7426.476243268421,2
2017-03-23,6656.257973267974,758.7611121772663,7415.01908544524,2
2017-03-24,6656.257973267974,757.2905083822402,7413.548481650214,2
2017-03-27,6656.257973267974,769.8170128216575,7426.074986089632,2
2017-03-28,6656.257973267974,870.3118865539536,7526.569859821928,2
2017-03-29,6656.257973267974,889.1242285204288,7545.382201788403,2
2017-03-30,6691.7447019301535,879.0696545300234,7570.814356460177,2
2017-03-31,6691.7447019301535,851.6299201868217,7543.374622116975,2
2017-04-03,6691.7447019301535,853.3452437206194,7545.089945650773,2
2017-04-04,6691.7447019301535,873.8725831069057,7565.617285037059,2
2017-04-05,6691.7447019301535,834.9498443062839,7526.694546236437,2
2017-04-06,6691.7447019301535,865.3973270909933,7557.142029021146,2
2017-04-07,6691.7447019301535,856.6530675898198,7548.397769519974,2
2017-04-10,6691.7447019301535,865.0287875535021,7556.773489483656,2
2017-04-11,6691.7447019301535,847.7023530447186,7539.447054974872,2
2017-04-12,6691.7447019301535,816.0237199765369,7507.7684219066905,2
2017-04-13,6691.7447019301535,753.0452457746344,7444.789947704788,2
2017-04-17,7265.300282687346,408.9913548218839,7674.29163750923,1
2017-04-18,7265.300282687346,401.51368704079925,7666.813969728146,1
2017-04-19,7265.300282687346,392.73503283819514,7658.035315525542,1
2017-04-20,7265.300282687346,434.6314416338487,7699.931724321195,1
2017-04-21,7265.300282687346,422.5034097439185,7687.803692431265,1
2017-04-24,7321.149941768862,431.52338651847197,7752.673328287334,1
2017-04-25,6880.435313588008,889.9756943191072,7770.411007907115,2
2017-04-26,6880.435313588008,887.9652955780412,7768.400609166049,2
2017-04-27,6880.435313588008,903.9395164823054,7784.374830070314,2
2017-04-28,6880.435313588008,886.2234872674605,7766.658800855469,2
2017-05-01,6880.435313588008,919.058022807425,7799.493336395433,2
2017-05-02,6880.435313588008,918.5791738962314,7799.01448748424,2
2017-05-03,6880.435313588008,913.3870000023102,7793.822313590318,2
2017-05-04,6915.139812206657,886.302971687338,7801.442783893995,2
2017-05-05,6915.139812206657,910.0655789917255,7825.205391198382,2
2017-05-08,6954.199737010358,892.8118862818953,7847.011623292254,2
2017-05-09,6954.199737010358,884.7569488616977,7838.9566858720555,2
2017-05-10,6954.199737010358,889.0676409806822,7843.26737799104,2
2017-05-11,6954.199737010358,869.4101668287926,7823.609903839151,2
2017-05-12,6954.199737010358,866.6082755973307,7820.808012607689,2
2017-05-15,6954.199737010358,906.7547818904111,7860.9545189007695,2
2017-05-16,6954.199737010358,901.4917909701209,7855.691527980479,2
2017-05-17,6954.199737010358,673.6707851907865,7627.870522201145,2
2017-05-18,6954.199737010358,720.9428885123416,7675.1426255227,2
2017-05-19,6954.199737010358,828.2443672339443,7782.444104244302,2
2017-05-22,6954.199737010358,902.9788164976098,7857.178553507968,2
2017-05-23,6985.378269242531,889.2974041107182,7874.675673353249,2
2017-05-24,6985.378269242531,921.6657559077718,7907.044025150303,2
2017-05-25,7020.333106953796,908.42025718472,7928.753364138516,2
2017-05-26,7057.519981823878,876.8942779375708,7934.414259761449,2
2017-05-30,7057.519981823878,866.48437214555,7924.004353969428,2
2017-05-31,7057.519981823878,865.5650656373231,7923.085047461201,2
2017-06-01,7057.519981823878,925.3912056747421,7982.91118749862,2
2017-06-02,7565.3598355076365,435.3356207430696,8000.695456250706,1
2017-06-05,7122.4197338921795,872.5838961905301,7995.00363008271,2
2017-06-06,7122.4197338921795,846.8473092986983,7969.267043190877,2
2017-06-07,7122.4197338921795,862.3853572748269,7984.805091167006,2
2017-06-08,7122.4197338921795,872.4091279085483,7994.828861800728,2
2017-06-09,7122.4197338921795,857.3743626622136,7979.794096554393,2
2017-06-12,7122.4197338921795,843.7532124387619,7966.172946330941,2
2017-06-13,7122.4197338921795,900.6027783411337,8023.022512233313,2
2017-06-14,7122.4197338921795,893.2921441385851,8015.711878030765,2
2017-06-15,7122.4197338921795,876.2964192781018,7998.716153170281,2
2017-06-16,7122.4197338921795,893.3515523241244,8015.771286216304,2
2017-06-19,7635.916115562759,433.66571159198025,8069.58182715474,1
2017-06-20,7201.181661460773,838.5501518600822,8039.7318133208555,2
2017-06-21,7201.181661460773,839.3328051688112,8040.514466629585,2
2017-06-22,7201.181661460773,844.6395376827406,8045.821199143514,2
2017-06-23,7201.181661460773,869.1185010993988,8070.300162560172,2
2017-06-26,7201.181661460773,882.7858580747318,8083.967519535505,2
2017-06-27,7201.181661460773,794.9586515639296,7996.140313024703,2
2017-06-28,7201.181661460773,890.7625554560221,8091.944216916795,2
2017-06-29,7201.181661460773,794.7690918319488,7995.950753292722,2
2017-06-30,7201.181661460773,817.3407010856251,8018.522362546399,2
2017-07-03,7201.181661460773,848.3210447610736,8049.502706221847,2
2017-07-05,7201.181661460773,872.3012428840643,8073.482904344837,2
2017-07-06,7201.181661460773,760.552591540192,7961.7342530009655,2
2017-07-07,7201.181661460773,854.5381836987357,8055.719845159509,2
2017-07-10,7201.181661460773,881.8422276149273,8083.023889075701,2
2017-07-11,7201.181661460773,885.9182892707258,8087.099950731499,2
2017-07-12,7714.531335183338,434.6095554890848,8149.140890672423,1
2017-07-13,7282.279209076965,877.6926642534075,8159.971873330373,2
2017-07-14,7282.279209076965,916.3367325877489,8198.615941664713,2
2017-07-17,7282.279209076965,917.1389400328957,8199.41814910986,2
2017-07-18,7282.279209076965,921.5078740177883,8203.787083094754,2
2017-07-19,7787.930538706713,440.05241002443915,8227.982948731153,1
2017-07-20,7344.401880050669,885.3532522437681,8229.755132294438,2
2017-07-21,7344.401880050669,890.769343290139,8235.171223340809,2
2017-07-24,7344.401880050669,890.1442935025075,8234.546173553177,2
2017-07-25,7344.401880050669,911.3192277204736,8255.721107771144,2
2017-07-26,7344.401880050669,912.1056855572463,8256.507565607915,2
2017-07-27,7344.401880050669,898.1967669834883,8242.598647034158,2
2017-07-28,7344.401880050669,888.9102303354097,8233.31211038608,2
2017-07-31,7344.401880050669,895.519389256326,8239.921269306995,2
2017-08-01,7344.401880050669,918.3333400501368,8262.735220100805,2
2017-08-02,7344.401880050669,921.2810640794905,8265.68294413016,2
2017-08-03,7344.401880050669,908.967425239595,8253.369305290264,2
2017-08-04,7344.401880050669,932.3630147413103,8276.764894791979,2
2017-08-07,7860.628680078797,434.06980918403093,8294.698489262828,1
2017-08-08,7431.487490587463,843.0617607188626,8274.549251306325,2
2017-08-09,7431.487490587463,839.8770420115522,8271.364532599015,2
2017-08-10,7431.487490587463,651.8471998502157,8083.334690437679,2
2017-08-11,7431.487490587463,668.794141817235,8100.281632404698,2
2017-08-14,7431.487490587463,804.7217682394855,8236.209258826948,2
2017-08-15,7431.487490587463,809.6369845362733,8241.124475123735,2
2017-08-16,7431.487490587463,830.3680164100385,8261.855506997501,2
2017-08-17,7431.487490587463,639.5108088612019,8070.998299448665,2
2017-08-18,7431.487490587463,636.0010767964852,8067.488567383948,2
2017-08-21,7431.487490587463,665.6618733496344,8097.149363937097,2
2017-08-22,7431.487490587463,806.0433793964709,8237.530869983933,2
2017-08-23,7431.487490587463,757.2727356806947,8188.760226268158,2
2017-08-24,7431.487490587463,738.6169864652682,8170.104477052731,2
2017-08-25,7431.487490587463,779.7409536945246,8211.228444281987,2
2017-08-28,7431.487490587463,801.1913011628707,8232.678791750333,2
2017-08-29,7431.487490587463,810.2453074298064,8241.73279801727,2
2017-08-30,7431.487490587463,875.9242664698629,8307.411757057325,2
2017-08-31,7474.909662067568,892.8786776822348,8367.788339749803,2
2017-09-01,7511.160782053894,880.4791857660879,8391.639967819981,2
2017-09-05,7511.160782053894,791.8701046873135,8303.030886741208,2
2017-09-06,7511.160782053894,831.1212464269776,8342.282028480871,2
2017-09-07,7511.160782053894,834.6451862289555,8345.80596828285,2
2017-09-08,7511.160782053894,814.8720777243486,8326.032859778243,2
2017-09-11,7511.160782053894,924.4477104851978,8435.608492539091,2
2017-09-12,8019.253285777632,433.56716469441386,8452.820450472047,1
2017-09-13,7581.5385460640455,875.04179530846,8456.580341372506,2
2017-09-14,7581.5385460640455,872.018795089642,8453.557341153688,2
2017-09-15,7581.5385460640455,892.3008079970724,8473.839354061118,2
2017-09-18,7581.5385460640455,909.5861509606543,8491.1246970247,2
2017-09-19,7581.5385460640455,917.8669830556812,8499.405529119727,2
2017-09-20,7581.5385460640455,931.883505102335,8513.42205116638,2
2017-09-21,7581.5385460640455,921.4394256414064,8502.977971705452,2
2017-09-22,7581.5385460640455,929.6194133943543,8511.1579594584,2
2017-09-25,7581.5385460640455,915.1408784351103,8496.679424499156,2
2017-09-26,7581.5385460640455,920.2410008802358,8501.77954694428,2
2017-09-27,8085.91165026999,441.98910961078843,8527.900759880778,1
2017-09-28,7648.364008823817,886.8401498569365,8535.204158680754,2
2017-09-29,7648.364008823817,912.0192410561389,8560.383249879957,2
2017-10-02,7684.854061557731,900.0404689237848,8584.894530481517,2
2017-10-03,7710.58400974427,885.1223821678416,8595.706391912112,2
2017-10-04,7710.58400974427,892.7269116276108,8603.31092137188,2
2017-10-05,7734.043586984261,908.7684761840195,8642.812063168281,2
2017-10-06,7734.043586984261,894.4826476924696,8628.52623467673,2
2017-10-09,7734.043586984261,875.9729341289044,8610.016521113166,2
2017-10-10,7734.043586984261,899.0960133878813,8633.139600372142,2
2017-10-11,7734.043586984261,917.0910374196806,8651.134624403941,2
2017-10-12,7734.043586984261,909.4022627360071,8643.445849720269,2
2017-10-13,7767.255847601077,887.522268093911,8654.778115694988,2
2017-10-16,7767.255847601077,900.9797428939648,8668.235590495042,2
2017-10-17,7767.255847601077,899.7433432534604,8666.999190854538,2
2017-10-18,7767.255847601077,912.5285884927783,8679.784436093856,2
2017-10-19,7767.255847601077,918.1723897122345,8685.428237313312,2
2017-10-20,7809.078068519152,903.369641654808,8712.44771017396,2
2017-10-23,7809.078068519152,864.4097013644906,8673.487769883643,2
2017-10-24,7809.078068519152,876.4570040611104,8685.535072580262,2
2017-10-25,7809.078068519152,845.9957837943302,8655.073852313482,2
2017-10-26,7809.078068519152,857.4908155153214,8666.568884034474,2
2017-10-27,7858.009667705648,886.3476969050112,8744.35736461066,2
2017-10-30,7858.009667705648,857.1521171854112,8715.16178489106,2
2017-10-31,7858.009667705648,874.4905802372809,8732.50024794293,2
2017-11-01,7858.009667705648,888.3903581676387,8746.400025873287,2
2017-11-02,7858.009667705648,898.9143836983583,8756.924051404007,2
2017-11-03,7898.571232485493,892.8952217272292,8791.466454212723,2
2017-11-06,7898.571232485493,903.4773133045134,8802.048545790007,2
2017-11-07,7898.571232485493,894.390311444977,8792.96154393047,2
2017-11-08,7926.506934403884,878.8862355615913,8805.393169965475,2
2017-11-09,7926.506934403884,837.275191694602,8763.782126098486,2
2017-11-10,7926.506934403884,815.624969193929,8742.131903597812,2
2017-11-13,7926.506934403884,828.5501892502278,8755.057123654111,2
2017-11-14,7926.506934403884,811.1085034843746,8737.615437888258,2
2017-11-15,7926.506934403884,736.3965733744564,8662.903507778341,2
2017-11-16,7926.506934403884,836.630655023743,8763.137589427626,2
2017-11-17,7926.506934403884,825.53578118766,8752.042715591544,2
2017-11-20,7926.506934403884,866.1892472775406,8792.696181681424,2
2017-11-21,7967.227779078776,891.4189474684714,8858.646726547247,2
2017-11-22,7967.227779078776,886.2727783289706,8853.500557407746,2
2017-11-24,8002.709905230421,872.6951386577759,8875.405043888197,2
